GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,software.amazon.swage.collection,ImmutableTypedMap.Builder,9,57,0,0,0,12,1,5,1,5
JaCoCo Coverage Report,software.amazon.swage.collection,ImmutableTypedMap,35,88,6,8,9,21,5,12,1,9
